"fico_range_low","fico_range_high","installment","int_rate","loan_amnt","annual_inc"
725,729,815.25,12.79,36000,110000
660,664,296.92,11.53,9000,36000
700,704,343.99,13.35,15000,80000
725,729,244,7.88,7800,43000
725,729,252.88,8.59,8000,52000
720,724,170.44,6.03,5600,58000
720,724,451.73,5.32,15000,108000
665,669,364.85,14.33,10625,32000
735,739,58.45,18.75,1600,57800
720,724,660,11.55,20000,1e+05
685,689,404.97,13.11,12000,35000
695,699,143.49,16.99,4025,10104
710,714,392.81,10.99,12000,60000
740,744,686.57,14.31,20000,56000
730,734,477.71,12.99,21000,47000
675,679,966.47,21.99,35000,180000
670,674,367.14,15.61,10500,56270
730,734,429.03,6.49,14000,85000
690,694,571.34,13.65,16800,102000
700,704,200.7,12.49,6000,24727
715,719,473.95,13.33,14000,115000
755,759,404.33,7.49,13000,148000
720,724,303.36,7.89,15000,120000
675,679,811.73,22.99,28800,95000
745,749,578.71,8.9,18225,42000
710,714,413.88,14.64,12000,110000
675,679,270.28,17.77,7500,38000
710,714,244.25,16.2,10000,67000
700,704,260.48,6.49,8500,110000
665,669,506.49,14.33,14750,55000
730,734,952.5,13.67,28000,104000
705,709,353.45,9.71,11000,43000
680,684,329.23,18.85,9000,180000
680,684,84.23,12.99,2500,1e+05
700,704,752.35,12.29,33600,110000
685,689,409.11,16.2,16750,90000
705,709,226.91,15.77,6475,80000
690,694,550.82,12.99,16350,72000
710,714,385.97,15.99,25000,157000
725,729,841.61,9.17,26400,225000
685,689,551.55,8.39,17500,98000
665,669,262.8,7.89,8400,90000
715,719,625.32,11.36,19000,48600
720,724,616.29,8.59,29975,124999
670,674,450.59,22.95,16000,52000
660,664,219.6,19.19,5975,78260
660,664,614.61,13.35,18150,72000
695,699,498.15,11.99,15000,150000
675,679,309.72,9.99,9600,91657
735,739,908.03,8.18,28900,125000
680,684,254.11,14.33,7400,28000
770,774,777.78,7.51,25000,65800
735,739,588.26,16.99,23675,164000
665,669,42.52,16.55,1200,30000
720,724,478.19,9.17,15000,70000
700,704,326.16,10.74,10000,90000
695,699,458.28,10.99,14000,48000
675,679,1207.3,14.65,35000,5e+05
700,704,432.09,6.97,14000,60000
670,674,487.74,21.48,17850,62000
670,674,212.39,14.16,6200,42000
705,709,195.81,15.61,5600,60000
690,694,1054.57,15.99,30000,1e+05
660,664,292.44,20.49,10925,36000
670,674,351.53,15.99,10000,55000
700,704,127.67,9.25,4000,45000
675,679,1092.72,28.14,35000,130000
700,704,247.13,14.3,7200,44000
670,674,218.4,18.49,6000,35000
750,754,596.54,6.03,19600,55000
720,724,517.48,10.16,16000,70000
675,679,452.45,8.18,14400,46000
700,704,543.48,14.99,22850,52000
675,679,513.96,22.95,18250,57500
705,709,448.71,17.14,18000,65500
660,664,239.21,13.99,7000,78000
680,684,239.06,15.22,10000,70000
700,704,252.43,15.8,7200,34000
755,759,122.82,6.62,4000,88000
685,689,207.97,14.99,6000,20000
665,669,328.03,18.99,8950,25000
670,674,272.15,13.67,8000,83000
695,699,657.1,7.9,21000,130000
685,689,538.73,11.55,16325,37000
670,674,880.61,17.57,35000,175000
720,724,873.25,10.16,27000,1e+05
675,679,373.6,17.1,15000,48814
700,704,266.06,20.2,10000,52000
670,674,156.46,7.9,5000,45000
680,684,296.38,6.99,9600,150000
735,739,632.94,17.86,25000,75000
730,734,521.18,16.99,20975,41999
680,684,377.7,26.06,12600,30000
660,664,268.98,12.85,8000,105000
715,719,1099.69,8.18,35000,260000
680,684,1257.63,17.56,35000,160000
680,684,864.78,17.76,24000,98000
690,694,324.68,15.31,9325,40000
720,724,1127.78,10.15,34875,140000
660,664,165.44,14.59,4800,60000
670,674,69.33,14.99,2000,74000
715,719,296.1,8.9,9325,28000
765,769,500.3,12.29,15000,1e+05
695,699,420.6,18.75,16300,45300
695,699,134.49,12.85,4000,58000
730,734,475.86,12.99,14125,47000
700,704,855.54,14.09,25000,65000
680,684,336.9,12.99,10000,64000
700,704,279.16,13.99,12000,82000
740,744,339.88,9.99,16000,150000
675,679,776.58,23.99,27000,57000
675,679,343.06,14.26,10000,1e+05
750,754,622.04,7.49,20000,54833.52
690,694,664.2,11.99,20000,67350
675,679,301.58,13.99,8825,60000
765,769,285.42,14.99,12000,46860
755,759,779.04,7.62,25000,85000
680,684,249.54,16.99,7000,52000
680,684,98.53,11.22,3000,53000
675,679,791.43,23.13,28000,87500
730,734,185.98,7.26,6000,52000
660,664,246.01,13.98,7200,28800
680,684,343.84,13.33,15000,55000
675,679,67.27,12.87,2000,38000
710,714,1094.9,12.99,32500,108500
680,684,166.09,15.61,4750,50000
670,674,374.75,20.49,14000,65000
760,764,154.37,6.99,5000,24000
660,664,461.86,14.99,13325,120000
660,664,371.66,15.8,15350,45000
775,779,291.15,8.67,9200,58000
730,734,793.84,8.9,25000,93600
680,684,886.11,17.86,35000,150000
725,729,277.05,13.65,12000,70079.2
715,719,573.06,13.33,25000,70000
715,719,301.43,15.99,8575,65000
670,674,484.86,11.99,14600,83500
685,689,289.02,9.67,9000,90000
660,664,691.76,19.52,26375,60000
705,709,207.95,12.12,6250,68400
735,739,176.13,10.74,5400,10800
690,694,250.29,7.89,8000,60000
695,699,408.48,18.25,16000,40000
805,809,375.49,7.9,12000,75000
695,699,185.98,7.26,6000,38000
675,679,733.02,18.99,20000,80000
725,729,458.28,10.99,14000,105000
690,694,796.18,12.99,35000,104000
725,729,182.62,6.03,6000,50000
675,679,203.18,13.35,6000,38393
675,679,1003.47,12.49,30000,72200
700,704,154.93,10.74,4750,18000
735,739,661.93,19.97,25000,110000
705,709,253.29,17.88,10000,45000
665,669,189.61,21.48,5000,40000
675,679,546.6,21.49,20000,60000
665,669,355.84,11.99,16000,63000
660,664,281.41,24.5,7125,41500
720,724,911.92,10.64,28000,97100
710,714,967.61,23.43,34025,72000
665,669,410.02,13.98,12000,65000
690,694,543.34,18.99,20950,50000
705,709,432.04,22.74,11200,60000
685,689,100.06,12.29,3000,65000
690,694,333.82,12.35,10000,50000
705,709,1047.49,10.99,32000,110000
690,694,242.98,13.11,7200,45000
710,714,762.08,8.9,24000,71000
680,684,327.34,10.99,10000,64374
795,799,608.72,6.03,20000,91000
660,664,229.14,10.99,7000,27500
705,709,229.64,11.14,7000,97000
680,684,296.15,16.2,8400,32000
740,744,209.5,10.99,6400,51400
670,674,465.6,20.2,17500,39000
720,724,198,11.55,6000,85000
690,694,471.21,13.05,13975,39600
680,684,260.41,15.61,10800,60000
680,684,462.42,9.67,14400,60000
700,704,398.52,11.99,12000,52000
660,664,648.38,18.99,25000,120000
690,694,324.42,10.37,10000,54996
775,779,456.54,6.03,15000,130000
670,674,365.3,18.75,10000,70000
670,674,299.45,12.12,9000,47000
730,734,165.38,11.71,5000,35000
685,689,420.86,12.39,12600,70000
690,694,464.58,9.99,14400,72000
685,689,467.59,18.75,12800,50400
670,674,393.54,11.99,11850,27000
675,679,261.21,18.25,7200,40000
690,694,289.07,18.24,11325,50000
665,669,573.88,16.29,23450,70000
720,724,532.8,12.18,16000,120000
735,739,334.73,9.17,10500,29750
715,719,1091.83,9.67,34000,130000
660,664,194.03,10.15,6000,55000
660,664,823.72,19.72,22250,64000
765,769,644.78,6.62,21000,90000
675,679,326.4,21.97,8550,74000
670,674,37.42,20.49,1000,75000
670,674,339.31,13.49,10000,55000
720,724,440.03,16.24,18000,60240
710,714,386.7,9.91,12000,97000
680,684,693.12,14.98,20000,50000
690,694,595.23,13.66,17500,90000
690,694,323.43,10.16,10000,85000
675,679,105.18,15.8,3000,46000
680,684,201.27,12.69,6000,84000
710,714,507.95,13.35,15000,65000
705,709,108.38,9.67,3375,48000
715,719,839.8,13.99,24575,76000
705,709,236.2,11.14,7200,42000
665,669,678.87,21.18,25000,64000
675,679,429.45,17.27,12000,95000
680,684,960.71,21.7,35000,117000
730,734,685.55,7.62,22000,120000
690,694,327.34,10.99,10000,90000
660,664,268.45,14.49,7800,120000
775,779,772.24,15.65,32000,104000
665,669,157.13,10.99,4800,50000
665,669,278.47,22.4,10000,79000
750,754,870.44,15.31,25000,2e+05
670,674,516.11,18.99,19900,75000
720,724,580.72,11.55,26375,60000
770,774,456.54,6.03,15000,82000
700,704,328.06,11.14,10000,87194
690,694,770.81,18.55,30000,90000
665,669,611.1,13.53,18000,65000
680,684,350.59,15.8,10000,48000
690,694,683.46,13.99,20000,72000
735,739,249.3,7.62,8000,130000
700,704,927.1,19.99,35000,175000
805,809,182.62,6.03,6000,128000
665,669,314.69,15.61,9000,34000
680,684,491.01,10.99,15000,70000
735,739,566.32,9.71,17625,70000
710,714,469.36,7.9,15000,90000
680,684,565.64,8.19,18000,55000
660,664,492.74,22.11,17800,84000
660,664,206.97,14.65,6000,48000
660,664,332.1,11.99,10000,48408
660,664,180.24,13.98,5275,60000
665,669,215.77,14.99,6225,108000
705,709,323.43,10.16,10000,45000
670,674,340.23,13.68,10000,40000
690,694,232.47,11.99,7000,122400
700,704,497.04,21.99,18000,36000
660,664,421.15,18.24,16500,65000
680,684,243.42,15.22,7000,205000
720,724,275.57,11.14,8400,30000
725,729,368.45,6.62,12000,75000
755,759,432.22,6.99,14000,41000
715,719,485.72,11.67,22000,120000
685,689,539.06,17.57,15000,86000
685,689,395.89,11.53,12000,72000
690,694,400.24,12.29,12000,40000
700,704,758.79,7.9,24250,1e+05
745,749,697.46,7.49,24000,133000
725,729,586,14.33,25000,70000
680,684,91.94,6.49,3000,67000
690,694,898.43,17.57,25000,68900
715,719,232.29,9.99,7200,83000
680,684,699.3,15.61,20000,120000
700,704,385.34,6.89,12500,89000
720,724,446.35,7.26,14400,35000
670,674,316.71,11.53,9600,54000
675,679,316.55,14.09,9250,65000
685,689,911.78,19.2,35000,109000
725,729,735.31,17.57,29225,61000
735,739,542.28,12.69,24000,93500
675,679,928.97,19.99,25000,65000
710,714,1003.47,12.49,30000,275000
660,664,318.79,9.17,10000,60000
675,679,667.06,12.29,20000,61465
700,704,79.11,11.47,2400,125000
685,689,383.25,15.31,16000,65000
690,694,67.09,12.69,2000,92607
680,684,202.14,12.99,6000,84996
685,689,210.92,13.11,6250,22000
660,664,1250.43,28.14,30175,125000
680,684,595.03,11.67,18000,90000
725,729,320.47,12.35,9600,79456
685,689,386.59,21.99,14000,50000
780,784,499.1,7.69,16000,93000
665,669,251.75,15.61,7200,70000
755,759,413.03,8.94,13000,60000
690,694,499.08,12.12,15000,78000
720,724,334.39,12.12,10050,30000
675,679,404.97,13.11,12000,60000
675,679,356.17,18.75,9750,35000
715,719,136.09,13.68,4000,41000
665,669,157.13,8.19,5000,45000
705,709,1012.41,13.11,30000,113879
685,689,765.19,19.52,29175,65000
720,724,153.23,6.49,5000,65000
695,699,541.87,16.29,15350,50000
680,684,123.03,13.99,3600,30000
740,744,234.99,12.74,7000,110000
680,684,734.4,12.35,22000,52000
800,804,1174.91,12.74,35000,168500
690,694,610.62,6.24,20000,80000
695,699,736.17,18.49,20225,145000
675,679,82.02,13.99,2400,63348
705,709,881.9,16.24,25000,102000
700,704,635.07,8.9,20000,125000
665,669,293.7,11.55,8900,32100
695,699,774.91,7.26,25000,135000
670,674,637.58,9.17,20000,63000
675,679,176.85,18.99,4825,14376
660,664,204.05,13.65,6000,50000
680,684,328.4,21.99,8600,40320
735,739,456.49,10.99,21000,75000
720,724,506.21,13.11,15000,71369
710,714,293.67,16.29,12000,1e+05
685,689,284.32,12.49,8500,66000
685,689,382.94,22.2,10000,35256
680,684,289.34,15.61,12000,53264
700,704,376.12,14.46,16000,165000
705,709,359.38,17.57,10000,68000
690,694,399.97,17.27,16000,55000
690,694,489.51,15.61,14000,65780
705,709,886.1,8.67,28000,150000
710,714,989.14,11.49,30000,182000
660,664,261.88,10.99,8000,32000
695,699,584.96,10.49,18000,70000
695,699,488.49,16.2,20000,60000
670,674,304.13,11.67,9200,69000
660,664,327.34,10.99,10000,45000
680,684,226.75,16.55,6400,37500
680,684,548.71,18.85,15000,145000
705,709,616.22,11.53,28000,69305
665,669,341.68,13.98,10000,38000
680,684,450.46,24.99,15350,60000
675,679,149.73,12.12,4500,70000
680,684,162.29,20.99,6000,36396
690,694,1223.77,15.61,35000,145000
675,679,539.03,12.99,16000,90000
670,674,665.44,12.12,20000,80000
680,684,496.76,22.99,17625,49000
690,694,469.29,7.89,15000,115000
695,699,293.67,16.29,12000,68000
675,679,246.05,13.99,7200,47400
715,719,103.99,12.69,3100,35031
665,669,122.04,18.55,3350,53000
705,709,1170.71,12.49,35000,260000
670,674,527.16,11.44,16000,1e+05
665,669,437.65,15.99,12450,160000
715,719,292.42,14.46,8500,45000
675,679,809.93,13.11,24000,150000
665,669,600.11,16.29,17000,130000
770,774,451.73,5.32,15000,120000
685,689,654.68,10.99,20000,62000
810,814,107.26,6.49,3500,46000
690,694,166.36,12.12,5000,55500
730,734,939.96,25.83,31500,241000
700,704,881.12,15.61,25200,102500
670,674,300.18,12.29,9000,60000
660,664,121.69,15.21,3500,17280
660,664,210.24,17.57,5850,60000
825,829,673.55,13.67,19800,121000
675,679,601.26,21.49,22000,50000
675,679,328.74,12.69,9800,35000
705,709,535.79,8.39,17000,80000
665,669,399.9,15.22,11500,35000
675,679,393.44,15.31,11300,42000
685,689,336.9,12.99,10000,55120
665,669,669.19,20.49,25000,88000
750,754,288.38,6.03,9475,62000
680,684,576.27,15.61,23900,52000
680,684,76.85,22.45,2000,65000
700,704,391.56,16.29,16000,51000
715,719,926.71,19.97,35000,125000
715,719,1223.77,15.61,35000,85000
755,759,305.31,6.24,10000,40000
680,684,362.56,18.92,14000,95000
670,674,269.52,12.99,8000,46000
670,674,209.79,15.61,6000,30000
675,679,727.98,18.49,20000,150000
660,664,168.45,12.99,5000,51000
670,674,332.72,12.12,10000,99000
815,819,301.63,8.18,9600,46000
675,679,340.18,13.67,10000,65000
710,714,1304.3,20.2,35000,2e+05
685,689,137.36,14.33,4000,55000
680,684,542.89,13.49,16000,49578
735,739,571.56,8.9,18000,70600
685,689,595.03,11.67,18000,80580
675,679,192.36,17.27,5375,19000
665,669,195.75,15.59,5600,42000
705,709,165.67,11.83,5000,60000
710,714,589.91,16.49,24000,90000
705,709,776.11,10.15,24000,195000
690,694,339.31,13.49,10000,45000
675,679,375.14,19.2,14400,76000
690,694,411.87,12.85,12250,55000
730,734,494.22,11.44,15000,90000
665,669,366.63,10.99,11200,55000
705,709,843.68,13.11,25000,102000
690,694,736.89,6.62,24000,1e+05
715,719,221.07,6.62,7200,87882
665,669,600.67,14.3,17500,85000
665,669,311.02,7.49,10000,59000
710,714,1036.85,8.18,33000,95000
720,724,31.3,7.9,1000,40000
680,684,521.46,19.24,20000,85000
720,724,437.09,12.85,13000,70000
710,714,583.52,24.7,20000,106000
720,724,370.59,12.99,11000,89000
695,699,225.84,9.99,7000,20000
670,674,265.68,11.99,8000,48000
665,669,338.54,13.33,10000,68000
720,724,882.47,8.39,28000,82000
660,664,360.83,17.86,10000,45000
745,749,161.32,9.99,5000,60000
715,719,851.09,10.99,26000,155000
690,694,99.72,12.05,3000,21000
660,664,262.67,17.86,10375,26000
685,689,785.62,10.99,24000,64000
670,674,101.91,13.57,3000,70000
695,699,400.24,12.29,12000,1e+05
680,684,545.99,18.49,15000,42000
680,684,689.3,14.59,20000,66690
675,679,368.73,18.39,14400,82296
660,664,85.04,13.66,2500,40000
685,689,273.58,10.64,8400,28000
750,754,254.85,6.62,8300,54000
675,679,282.65,20.99,10450,1e+05
770,774,219.14,6.03,7200,30000
690,694,498.15,11.99,15000,55000
665,669,358.77,13.98,10500,70000
670,674,161.32,9.99,5000,46478
670,674,77.44,14.49,2250,98000
710,714,372.65,12.12,11200,57000
675,679,274.36,18.85,7500,106000
680,684,81.25,10.49,2500,55000
715,719,125.13,7.88,4000,56800
660,664,33.55,12.69,1000,64000
690,694,352.56,16.2,10000,55000
675,679,233.48,9.16,7325,40000
660,664,123.9,14.49,3600,23000
705,709,358.43,10.36,11200,72000
670,674,704.49,17.57,28000,1e+05
665,669,461.39,29.49,14400,48000
660,664,687.42,10.99,21000,75000
665,669,149.29,7.49,4800,38000
690,694,561.01,18.55,15400,35000
730,734,244.07,7.9,7800,27000
710,714,658.95,11.44,20000,121000
750,754,762.08,8.9,24000,160000
780,784,773.44,11.71,35000,88000
695,699,1274.98,9.16,40000,90000
710,714,906.38,18.92,35000,76446
720,724,184.51,11.44,5600,105000
695,699,448.33,11.99,13500,62104
735,739,815.61,12.87,24250,135000
675,679,699.95,17.27,28000,132000
665,669,336.22,12.85,10000,25000
760,764,311.11,7.51,10000,175000
720,724,344.19,18.92,9400,93000
745,749,96.37,5.32,3200,30000
685,689,541.65,13.33,16000,60000
700,704,474.14,8.59,15000,155000
740,744,375.38,7.88,12000,52000
775,779,409.28,8.39,20000,70000
795,799,518.84,8.99,25000,80000
665,669,377.41,17.57,15000,60000
705,709,348.56,11.14,10625,32000
660,664,188.81,15.61,5400,83000
660,664,343.56,17.27,9600,30000
690,694,805.66,12.74,24000,99500
660,664,554.57,14.99,16000,1e+05
665,669,583.67,16.29,23850,53888
675,679,523.75,10.99,16000,91228
665,669,325.48,12.35,9750,30000
720,724,774.91,7.26,25000,111634
675,679,732.52,15.61,20950,54000
660,664,323.42,12.99,9600,140000
710,714,840.91,12.88,25000,68000
660,664,619.55,23.91,21575,54480
740,744,690.15,13.49,30000,1e+05
675,679,327.42,25.78,8150,24000
680,684,211.55,7.26,6825,56000
710,714,638.67,13.11,28000,90000
665,669,239.79,14.16,7000,97000
690,694,537.95,12.85,16000,50000
665,669,131.04,18.49,3600,138000
695,699,349.29,8.9,11000,85000
660,664,424.8,16.49,12000,60500
700,704,682.07,12.12,20500,95650
660,664,312.86,18.24,8625,45000
730,734,793.84,8.9,25000,76000
705,709,569.91,11.53,17275,62000
660,664,220.55,19.2,6000,60000
665,669,281.8,17.57,11200,56519
660,664,449.39,17.86,17750,125000
690,694,866.1,7.12,28000,78000
660,664,341.73,13.99,10000,120000
680,684,635.07,8.9,20000,177000
665,669,285.99,11.48,8675,120000
675,679,691.55,24.08,24000,160000
675,679,467.43,7.62,15000,92000
725,729,225.48,9.88,7000,53000
690,694,227.49,10.49,7000,79100
680,684,400.99,12.42,12000,77000
730,734,258.75,13.98,11125,24800
740,744,250.33,7.9,8000,75000
670,674,507.95,13.35,15000,52000
695,699,492.18,21.18,18125,97000
720,724,156.46,7.9,5000,39000
675,679,219,7.89,7000,72000
665,669,560.15,15.7,16000,70000
670,674,229.87,15.33,6600,30000
720,724,317.54,8.9,10000,52000
695,699,573.06,13.33,25000,140000
740,744,336.27,7.88,10750,33600
780,784,329.69,11.48,10000,32647.6
730,734,365.23,6.03,12000,128000
690,694,169.27,13.33,5000,58000
660,664,765.78,14.65,22200,53000
680,684,217.38,10.99,10000,58240
660,664,168.04,18.75,4600,55000
740,744,68.33,7.39,2200,68000
685,689,79.96,11.49,2425,86400
710,714,265.91,12.05,8000,60000
705,709,196.41,10.99,6000,70000
735,739,486.97,6.03,16000,205000
680,684,151.87,13.11,4500,29061
665,669,205.04,13.99,6000,77000
700,704,465.16,13.98,20000,45000
665,669,421.18,15.88,12000,210000
675,679,377.71,14.65,16000,85000
695,699,693.21,14.99,20000,140000
730,734,680.36,13.67,20000,52000
705,709,665.44,12.12,20000,52000
665,669,285.14,12.69,8500,35000
660,664,759.74,23.83,26500,70000
660,664,216.44,18.75,5925,26928
755,759,221.42,6.03,7275,49000
690,694,889.58,11.99,40000,1e+05
670,674,1005.05,26.06,24925,60000
680,684,49.82,11.99,1500,60000
690,694,170.09,13.67,5000,50000
725,729,416.82,9.17,20000,55000
675,679,729.93,13.53,21500,49222
695,699,431.85,8.9,13600,75000
690,694,124.41,7.49,4000,51852
700,704,352.08,13.33,10400,72000
665,669,200.12,12.29,6000,43500
670,674,842.23,12.99,25000,135000
675,679,175.34,9.17,5500,36888
665,669,336.57,15.8,9600,75000
675,679,101.25,13.11,3000,17000
675,679,398.52,11.99,12000,69750
750,754,216.58,7.14,7000,47000
660,664,287.02,22.15,7500,36000
740,744,322.07,13.49,14000,27840
705,709,1262.88,17.86,35000,70000
710,714,698.58,8.9,22000,102000
725,729,491.51,9.25,15400,51000
755,759,161.71,12.99,4800,22000
665,669,321.13,9.67,10000,48000
675,679,340.81,20.99,12600,48000
700,704,860.42,19.42,32875,87600
685,689,341.73,13.99,10000,60000
720,724,973.87,11.99,29325,84000
685,689,266.18,12.12,8000,55000
755,759,181.16,6.62,5900,69000
695,699,775.84,11.14,23650,126000
720,724,387.48,15.81,16000,67200
680,684,472.54,16.55,19200,75000
675,679,314.2,8.18,10000,96000
720,724,566.44,14.64,24000,96000
660,664,418.12,19.52,11325,38000
660,664,93.61,16.59,3800,59410
660,664,1269.73,18.25,35000,146000
755,759,197.84,6.03,6500,37200
685,689,897.37,13.35,26500,110000
670,674,197.83,11.49,6000,450000
725,729,842.23,12.99,25000,85000
695,699,364.57,17.86,14400,115000
705,709,327.96,21.49,12000,45000
695,699,541.87,18.75,21000,150000
665,669,374.14,20.49,10000,50000
775,779,210.81,5.32,7000,1e+05
700,704,690.46,10.64,21200,48000
660,664,193.08,27.88,4675,9360
690,694,55.03,19.05,1500,83263
680,684,164.74,11.44,5000,33500
680,684,684.24,7.49,22000,72000
685,689,1257.8,17.57,35000,92000
705,709,379.39,11.53,11500,40000
765,769,1103.09,8.39,35000,120000
660,664,178.94,17.27,5000,65000
730,734,390.68,19.19,15000,33400
675,679,557.13,20.2,14950,57200
760,764,431.16,15.31,18000,60000
720,724,790.82,12.69,35000,102000
695,699,535.35,20.49,20000,60000
675,679,251.61,17.57,10000,75000
730,734,582.17,10.16,18000,80000
720,724,390.83,10.64,12000,85000
730,734,497.68,20.99,18400,40000
675,679,224.61,17.57,6250,26000
665,669,1153.19,17.77,32000,181000
765,769,115.03,13.49,5000,30000
690,694,330.23,12.12,9925,33000
665,669,225.44,12.59,10000,65000
695,699,421.18,15.88,12000,55000
675,679,520.69,14.16,15200,71700
665,669,278.19,15.22,8000,70000
710,714,332.72,12.12,10000,32000
700,704,423.82,19.99,16000,32000
680,684,737.48,19.72,28000,106661.2
670,674,269.23,17.14,10800,53000
670,674,108.25,17.86,3000,27108
735,739,298.67,7.51,9600,80000
685,689,559.44,15.61,16000,83000
710,714,510.6,18.25,20000,110000
665,669,657.06,14.09,19200,98000
715,719,623.88,7.69,20000,148000
730,734,339.23,13.47,10000,75000
695,699,116.43,13.11,3450,17554.8
690,694,1207.3,14.65,35000,195000
715,719,335.45,12.69,10000,90000
700,704,159.59,9.25,5000,75000
725,729,84.51,13.22,2500,31323
675,679,172.48,14.65,5000,55000
690,694,378.39,17.77,10500,46000
665,669,337.81,13.18,10000,45000
695,699,481.82,20.49,18000,57000
670,674,201.74,12.85,6000,37891
690,694,509.5,17.57,20250,45000
730,734,57.18,13.23,2500,12000
705,709,168.45,12.99,5000,28000
660,664,56.9,21.49,1500,51729
695,699,733.38,16.24,30000,225000
725,729,187.75,7.9,6000,60000
790,794,451.97,6.03,14850,48000
670,674,574.11,13.99,16800,84000
660,664,349.72,18.55,9600,112000
670,674,287.02,13.98,8400,59000
690,694,391.56,18.54,10750,30000
750,754,421.23,9.76,13100,55000
710,714,428.26,12.12,19200,80000
670,674,664.85,19.05,18125,68000
750,754,39.29,10.99,1200,42000
660,664,307.34,18.99,11850,110000
705,709,980.65,22.7,35000,120000
705,709,100.12,7.89,3200,96000
765,769,280.07,5.32,9300,120000
715,719,76.64,10,2375,9600
730,734,644.78,6.62,21000,114000
720,724,233.15,18.55,6400,38245
680,684,168.04,18.75,4600,20000
750,754,503.18,12.69,15000,80000
785,789,193.07,6.49,6300,25000
750,754,617.99,7.9,19750,48000
750,754,474.24,11.53,14375,36826.8
660,664,438.37,11.99,13200,56000
660,664,410.08,13.99,12000,44000
675,679,180.19,17.77,5000,140000
660,664,365.31,11.99,11000,30000
670,674,688.48,14.33,20050,69500
695,699,170.38,13.79,5000,34500
680,684,712.97,23.99,18175,75000
670,674,301.36,20.99,8000,68000
685,689,408.1,13.65,12000,75000
720,724,481.58,14.65,20400,54200
680,684,178.24,16.99,5000,20800
715,719,405.72,20.99,15000,30000
675,679,375,13.98,10975,55000
675,679,301.93,17.57,12000,53300
740,744,635.07,8.9,20000,160000
730,734,195.83,7.99,6250,85000
690,694,334.49,12.49,10000,140000
720,724,63.76,7.49,2050,50000
740,744,171.39,7.62,5500,70000
710,714,259.42,10.99,7925,92000
680,684,494.86,11.53,15000,225000
